"Full.Name","median","fifth.percentile","ninety.fifth.percentile","n"
"Aaron Rodgers",20.7630310172843,34.1071012679094,5.7279609023262,157
"Cam Newton",20.2349489993837,33.5509424603943,5.2481180593647,99
"Andrew Luck",19.1926477920392,30.6810842635216,6.49967632885401,76
"Russell Wilson",18.547611623468,31.2916850061112,4.31692967332054,92
"Dak Prescott",18.4417289974394,28.763280535898,7.16810462321037,17
"Drew Brees",18.2638282712858,31.7259716993737,3.13804235168966,244
"Tom Brady",17.6695974171374,30.4507608097798,3.41048928239066,265
"Matthew Stafford",17.4551059467625,29.5436189691136,4.05676451753449,112
"Marcus Mariota",17.2053189411233,31.8393041426406,0.612275561824305,27
"Tony Romo",16.7023467116189,28.3052879323786,3.91006322399507,136
"Matt Ryan",16.5925457560283,27.3263602766633,4.85030317021889,150
"Jameis Winston",16.5289487967928,24.8577760542863,7.6062250118251,32
"Colin Kaepernick",16.3930272070231,29.8599240025727,1.30312604744363,71
"Robert Griffin",16.3630703852177,29.3776126210066,1.83963267922285,43
"Kirk Cousins",16.2842420375308,30.4108801284477,0.363368480716133,48
"Blake Bortles",16.233848604778,26.9716785517751,4.49153537285197,46
"Tyrod Taylor",16.1782426875872,28.971893257587,1.93301546930495,35
"Ben Roethlisberger",15.7088721331356,27.2476028635134,3.00989604318829,205
"Andy Dalton",15.644522272798,26.8904018270921,3.3003440502478,97
"Philip Rivers",15.6301270431357,26.2345368939975,4.05486385669887,187
"Derek Carr",15.5297449717275,27.3885672752006,2.44477588991386,47
"Ryan Tannehill",14.9375463182692,24.9735009175652,4.04403908262877,77
"Carson Palmer",14.7825826609809,25.4583563500806,3.13293054231869,179
"Nick Foles",14.6641821349117,30.0035488737956,-2.76848882751737,42
"Jay Cutler",14.5291482136896,25.751171710173,2.22938675298894,141
"Joe Flacco",14.0937265531407,24.8429513609707,2.36520254940021,153
"Eli Manning",14.0551955928638,25.6502638369465,1.31277840577218,212
"Trevor Siemian",13.7530308779465,25.4128824561646,0.936796194322469,14
"Ryan Fitzpatrick",13.5770919879079,25.4661459686705,0.486041967890316,124
"Sam Bradford",13.3595120647788,22.4178626259239,3.62200901742968,78
"Alex Smith",13.2802752241155,25.0591944160804,0.327106284772967,147
"Carson Wentz",13.0977606618069,20.3263113786107,5.44464563053543,16
"Matt Schaub",12.9236818834261,25.9999630525811,-1.60959977023445,111
"Mike Glennon",12.8256884347922,20.7640056314283,4.37403395513228,20
"Mark Sanchez",11.692916379611,23.4691118674707,-1.2337465050192,81
"Shaun Hill",11.5749778132949,22.4262782831521,-0.244144051917687,45
"Geno Smith",11.4893332747492,25.3172897755927,-3.94899888036987,33
"Case Keenum",11.4510419442114,23.1300517544812,-1.3551960266808,25
"EJ Manuel",11.2486265402334,22.7474564578021,-1.33852398045678,21
"Brian Hoyer",11.1933416253914,23.1725069122568,-1.9709611635884,43
"Josh McCown",11.1314834292685,24.9603051683158,-4.30066726559824,77
"Matt Cassel",11.1270010159102,25.0819253746143,-4.46231522793252,96
"Chad Henne",10.9223175770987,21.7182245924046,-0.823461945952971,62
"Brock Osweiler",10.2601287215857,21.8176057580654,-2.38405883700987,32
"Blaine Gabbert",10.062771352597,19.6125208106684,-0.21501384872056,43
"Derek Anderson",9.34740837589655,21.5839484497586,-4.10064558661217,62
"Matt Moore",8.56955189465836,20.5530453193946,-4.56259784603064,43
"Cody Kessler",8.46327851787956,18.2641540858313,-2.09151679789869,9
"Matt McGloin",7.49204243940892,17.5953485604616,-3.40526634306384,13
"Charlie Whitehurst",7.3799497049863,16.4078176126734,-2.27570956601119,20
"Kellen Clemens",6.42563560612885,16.3773161774977,-4.28601710967257,34
"Ryan Mallett",6.29239182612871,17.0212922417388,-5.32386212090775,14
"Matt Barkley",6.22941265174147,17.8696847575099,-6.4621548140839,11
"Drew Stanton",5.78968219314272,16.4370853211766,-5.72603608811788,31
"Landry Jones",5.70855677505875,18.0585627464547,-7.82434606749563,10
"Jimmy Garoppolo",5.51690810584775,17.2436557013025,-7.26875041288341,9
"Chase Daniel",2.58184232563954,11.1612601855156,-6.53296836308692,12
